Topic,Count,话题,Name,Representation,Representative_Docs
9,113,驰援灾区,9_增援_没亮_驶离_悄悄,"['增援', '没亮', '驶离', '悄悄', '霞光', '归途', '自有', '悄无声息', '披星戴月', 'ps']","['消防 增援 队 趁天 没亮 悄悄 驶离 灾区 月 15 日 四川 泸定 多支 消防 增援 队伍 地震 救援 清晨 交接仪式 天 没亮 便 悄悄 驶离 灾区 归建 队友 拥抱 便 胜过 千言万语 ps 披星戴月 悄无声息 走 放心 一路 归途 自有 霞光 相 送 ~ L 中国 消防 微博 视频 \u200b', '消防 增援 队 趁天 没亮 悄悄 驶离 灾区 月 15 日 四川 泸定 多支 消防 增援 队伍 地震 救援 清晨 交接仪式 天 没亮 便 悄悄 驶离 灾区 归建 队友 拥抱 便 胜过 千言万语 ps 披星戴月 悄无声息 走 放心 一路 归途 自有 霞光 相 送 ~ L 中国 消防 微博 视频 \u200b \u200b \u200b', '消防 增援 队 趁天 没亮 悄悄 驶离 灾区 月 15 日 四川 泸定 多支 消防 增援 队伍 地震 救援 清晨 交接仪式 天 没亮 便 悄悄 驶离 灾区 归建 队友 拥抱 便 胜过 千言万语 ps 披星戴月 悄无声息 走 放心 一路 归途 自有 霞光 相 送 ~ L 中国 消防 微博 视频 \u200b']"
10,112,,10_快手_视频_微博_vlog,"['快手', '视频', '微博', 'vlog', '美食', '中秋', '珙县', '文旅', 'esg', '探店']","['新 能源 体系 大国 战略 宏观 ESG 研究 视频 原创 彭博 彭博 Bloomberg2022 09 0912 52 发表 北京 ESG 特别 对话 | 天风 证券 宋雪涛 新 能源 体系 大国 战略 宏观 ESG 研究 视频 OESG 特别 对话 | 天风 证券 宋雪涛 新 能源 体系 大国 战略 宏观 ESG 研究 视频 气候 极端化 供电 紧张 俄乌 冲突 能源 拉锯 大国 博弈 规则 建立 现象 背后 价值观 \u200b', '月 日 四川 成都 疫情 静态 管理 期间 外籍 男子 配合 防疫 群众 制服 好言相劝 遭 无礼 出手 时 出手 成都 ## 快手 快手 抗战 大省 四川 从来不 惯 老外 毛病 L 杭州 日报 快手 视频 \u200b', '发布 四川 加油 快手 正 能量 快手 热点 白衣天使 致敬 抗击 疫情 央企 致敬 疫情 前线 医护人员 ## 快手 快手 L 云菲 文案 馆 快手 视频 \u200b']"
11,104,,11_倪太高_村民_连续_找到,"['倪太高', '村民', '连续', '找到', '救甘宇', '全过程', '搜寻', '上山', '进山', '见面']","['村民 讲述 救甘宇 全过程 村民 连续 天 自发 上山 搜寻 找到 甘宇 昨天 四川 泸定 地震 中 保护 村民 失联 17 天 甘宇 村民 倪太高 找到 倪太高 回忆 连续 两天 进山 找到 甘宇 一点 路 绕 走 见面 大哭 一场 说 好人 甘宇 生命 体征 平稳 倪太高 说 好人 \u200b', '村民 讲述 救甘宇 全过程 村民 连续 天 自发 上山 搜寻 找到 甘宇 昨天 四川 泸定 地震 中 保护 村民 失联 17 天 甘宇 村民 倪太高 找到 倪太高 回忆 连续 两天 进山 找到 甘宇 一点 路 绕 走 见面 大哭 一场 说 好人 甘宇 生命 体征 平稳 倪太高 说 好人 \u200b', '村民 讲述 救甘宇 全过程 村民 连续 天 自发 上山 搜寻 找到 甘宇 昨天 四川 泸定 地震 中 保护 村民 失联 17 天 甘宇 村民 倪太高 找到 倪太高 回忆 连续 两天 进山 找到 甘宇 一点 路 绕 走 见面 大哭 一场 说 好人 甘宇 生命 体征 平稳 倪太高 说 好人 \u200b']"
12,99,,12_出院_车子_鲜血_直流,"['出院', '车子', '鲜血', '直流', '大于', '挡住', '砸伤', '新华社', '车挡', '中以']","['泸定 地震 开车 挡 石救 出院 月 23 日 18 天 治疗 康复 泸定 地震 中以 车挡 石救下 杨光 银 出院 地震 发生 时 驾驶 水泥 罐车 名 工人 挡住 垮塌 山体 左臂 头部 砸伤 鲜血 直流 车子 损毁 买 生命 大于 天 四川 日报 L 新华社 微博 视频 \u200b', '泸定 地震 开车 挡 石救 出院 月 23 日 18 天 治疗 康复 泸定 地震 中以 车挡 石救下 杨光 银 出院 地震 发生 时 驾驶 水泥 罐车 名 工人 挡住 垮塌 山体 左臂 头部 砸伤 鲜血 直流 车子 损毁 买 生命 大于 天 四川 日报 L 新华社 微博 视频 \u200b', '泸定 地震 开车 挡 石救 出院 月 23 日 18 天 治疗 康复 泸定 地震 中以 车挡 石救下 杨光 银 出院 地震 发生 时 驾驶 水泥 罐车 名 工人 挡住 垮塌 山体 左臂 头部 砸伤 鲜血 直流 车子 损毁 买 生命 大于 天 四川 日报 L 新华社 微博 视频 \u200b']"
13,96,抗疫短片,13_夏秋_考验_微光_困难,"['夏秋', '考验', '微光', '困难', '当有', '千千万万', '一场场', '照亮', '多重', '这片']","['短片 凡心 微光 奋战 2022 夏秋 2022 年 夏秋 之际 四川 经历 一场场 考验 高温 干旱 疫情 反弹 地震 灾害 来袭 多重 困难 叠加 困难 考验 时期 付出 当有 这片 土地 总会 千千万万 平凡 站 微光 汇聚 成 照亮 前路 火炬 \u200b', '短片 凡心 微光 奋战 2022 夏秋 2022 年 夏秋 之际 四川 经历 一场场 考验 高温 干旱 疫情 反弹 地震 灾害 来袭 多重 困难 叠加 困难 考验 时期 付出 当有 这片 土地 总会 千千万万 平凡 站 微光 汇聚 成 照亮 前路 火炬 \u200b', '短片 凡心 微光 奋战 2022 夏秋 2022 年 夏秋 之际 四川 经历 一场场 考验 高温 干旱 疫情 反弹 地震 灾害 来袭 多重 困难 叠加 困难 考验 时期 付出 当有 这片 土地 总会 千千万万 平凡 站 微光 汇聚 成 照亮 前路 火炬 \u200b']"
14,92,,14_经济_预期_增长_指数,"['经济', '预期', '增长', '指数', '市场', '创业板', '投资', '两市', '亿元', '煤炭']","['A股 收评 创业板 指涨 超 2% 旅游 消费 带领 反攻 来源 同花顺 7x24 快讯 2022 09 2715 00 55 关键词 创业板 景点 旅游 消费 股 A股 市场 收评 导语 三大 指数 大幅 反弹 收盘 沪 指涨 1.4% 深成指 涨 1.94% 创业板 指涨 2.23% 沪 深 两市 全天 成交额 6662 亿元 酒店 餐饮 旅游 消费 板块 领涨 两市 油气 \u200b', '摘要 三大 指数 大幅 反弹 收盘 沪 指涨 1.4% 深成指 涨 1.94% 创业板 指涨 2.23% 沪 深 两市 全天 成交额 6662 亿元 酒店 餐饮 旅游 消费 板块 领涨 两市 油气 开采 煤炭 板块 跌幅 居前 两市 超 4300 三大 指数 大幅 反弹 收盘 沪 指涨 1.4% 深成指 涨 1.94% 创业板 指涨 2.23% 沪 深 两市 全天 成交额 \u200b', 'A股 收评 创业板 指跌 3.18% 两市 超 4100 股 下跌 来源 同花顺 7x24 快讯 2022 09 1515 00 50 关键词 创业板 A股 市场 收评 涨停 中国 导语 三大 指数 全天 高开低走 收盘 沪 指跌 1.16% 深成指 跌 2.1% 创业板 指跌 3.18% 沪 深 两市 全天 成交额 9191 亿元 跨境 支付 房地产 板块 涨幅 居前 光伏 电力设备 TOPCON \u200b']"
15,83,,15_石救下_银用_峨眉_开车,"['石救下', '银用', '峨眉', '开车', '回到', '司机', '杨光', '中以', '车挡', '修筑']","['地震 时 开车 挡 石救下 英雄 出院 23 日 18 天 治疗 康复 泸定 地震 中以 车挡 石救下 杨光 银 回到 峨眉 地震 发生 时 震中 山体 发生 滑坡 位 工人 正 修筑 堡 坎 危急关头 驾驶 水泥 罐车 杨光 银用 车身 挡 前方 赢得 逃生 时间 开车 挡 石救 司机 说 做 四川 日报 \u200b', '地震 时 开车 挡 石救下 英雄 出院 23 日 18 天 治疗 康复 泸定 地震 中以 车挡 石救下 杨光 银 回到 峨眉 地震 发生 时 震中 山体 发生 滑坡 位 工人 正 修筑 堡 坎 危急关头 驾驶 水泥 罐车 杨光 银用 车身 挡 前方 赢得 逃生 时间 开车 挡 石救 司机 说 做 四川 日报 \u200b', '地震 时 开车 挡 石救下 英雄 出院 23 日 18 天 治疗 康复 泸定 地震 中以 车挡 石救下 杨光 银 回到 峨眉 地震 发生 时 震中 山体 发生 滑坡 位 工人 正 修筑 堡 坎 危急关头 驾驶 水泥 罐车 杨光 银用 车身 挡 前方 赢得 逃生 时间 开车 挡 石救 司机 说 做 四川 日报 \u200b']"
16,81,,16_返川_外省_感染者_闭环,"['返川', '外省', '感染者', '闭环', '转运', '无症状', '确诊', '本土', '转为', '病例']","['四川 昨日 新增 本土 确诊 病例 35 例 本土 无症状 感染者 13 例 月 25 日 24 时 全省 新冠 肺炎 疫情 最新 情况 新增 本土 确诊 病例 35 例 外省 返川 闭环 转运 人员 例 遂宁 16 例 凉山 例 内江 例 例由 无症状 感染者 转为 确诊 病例 外省 返川 闭环 转运 人员 例 宜宾 例 遂宁 例 内江 例 凉山 例 新 \u200b', '四川 昨日 新增 本土 确诊 病例 40 例 新增 本土 无症状 感染者 26 例 月 24 日 24 时 全省 新冠 肺炎 疫情 最新 情况 新增 本土 确诊 病例 40 例 外省 返川 闭环 转运 人员 15 例 成都 例 遂宁 10 例 内江 例 资阳 例 11 例由 无症状 感染者 转为 确诊 病例 外省 返川 闭环 转运 人员 例 成都 例 内江 例 泸州 例 \u200b', '四川 昨日 新增 本土 确诊 病例 35 例 本土 无症状 感染者 13 例 月 25 日 24 时 全省 新冠 肺炎 疫情 最新 情况 新增 本土 确诊 病例 35 例 外省 返川 闭环 转运 人员 例 遂宁 16 例 凉山 例 内江 例 例由 无症状 感染者 转为 确诊 病例 外省 返川 闭环 转运 人员 例 宜宾 例 遂宁 例 内江 例 凉山 例 新 \u200b']"
17,78,,17_飞鹰_胡杨_航空_重伤员,"['飞鹰', '胡杨', '航空', '重伤员', '展翅飞翔', '世家', '救援队', '奋斗者', '37', '雄鹰']","['奋斗者 正 青春 | 展翅飞翔 救援 雄鹰 四川 泸定 6.8 级 地震 发生 成都 消防 飞鹰 航空 救援队 胡杨 带领 队友 第一 时间 抵达 重灾区 石棉县 率先 开辟 空中 救援 通道 被困 孤岛 中 群众 带 生命 希望 抗震救灾 期间 成都 消防 飞鹰 航空 救援队 共 营救 转移 重伤员 37 运送 物资 3.1 吨 胡杨 成长 消防 世家 \u200b', '奋斗者 正 青春 | 展翅飞翔 救援 雄鹰 四川 泸定 6.8 级 地震 发生 成都 消防 飞鹰 航空 救援队 胡杨 带领 队友 第一 时间 抵达 重灾区 石棉县 率先 开辟 空中 救援 通道 被困 孤岛 中 群众 带 生命 希望 抗震救灾 期间 成都 消防 飞鹰 航空 救援队 共 营救 转移 重伤员 37 运送 物资 3.1 吨 胡杨 成长 消防 世家 \u200b', '奋斗者 正 青春 | 展翅飞翔 救援 雄鹰 四川 泸定 6.8 级 地震 发生 成都 消防 飞鹰 航空 救援队 胡杨 带领 队友 第一 时间 抵达 重灾区 石棉县 率先 开辟 空中 救援 通道 被困 孤岛 中 群众 带 生命 希望 抗震救灾 期间 成都 消防 飞鹰 航空 救援队 共 营救 转移 重伤员 37 运送 物资 3.1 吨 胡杨 成长 消防 世家 \u200b']"
18,78,,18_广东_病例_新疆生产建设兵团_直辖市,"['广东', '病例', '新疆生产建设兵团', '直辖市', '个省', '自治区', '例由', '转为', '31', '天津']","['昨日 疫情 月 16 日 24 时 31 个省 自治区 直辖市 新疆生产建设兵团 报告 新增 确诊 病例 140 例 境外 输入 病例 64 例 广东 15 例 福建 12 例 上海 例 北京 例 云南 例 黑龙江 例 江苏 例 天津 例 内蒙古 例 辽宁 例 四川 例 湖南 例 重庆 例 含 例由 无症状 感染者 转为 确诊 病例 广东 例 \u200b', '常态 化 疫情 防控 月 24 日 24 时 31 个省 自治区 直辖市 新疆生产建设兵团 报告 新增 确诊 病例 217 例 境外 输入 病例 58 例 广东 12 例 上海 例 福建 例 北京 例 内蒙古 例 四川 例 天津 例 浙江 例 江苏 例 山东 例 云南 例 陕西 例 含 例由 无症状 感染者 转为 确诊 病例 广东 例 四川 \u200b', '昨日 疫情 月 24 日 24 时 31 个省 自治区 直辖市 新疆生产建设兵团 报告 新增 确诊 病例 217 例 境外 输入 病例 58 例 广东 12 例 上海 例 福建 例 北京 例 内蒙古 例 四川 例 天津 例 浙江 例 江苏 例 山东 例 云南 例 陕西 例 含 例由 无症状 感染者 转为 确诊 病例 广东 例 四川 例 北 \u200b']"
19,74,,19_东兴_贵州_一刀切_隔离,"['东兴', '贵州', '一刀切', '隔离', '昆明', '闲心', '套餐', '弹丸', '二把手', '明星']","['东兴 疫情 防控 动态 整体 可控 说 四川 江东 兴 广西 东兴 \u200b \u200b \u200b', '东兴 疫情 防控 两个 东兴 疫情 广西 东兴市 临近 越南 边境 小城 疫情 持续 很久 四川 内江市 东兴区 疫情 两个 东兴 关注 \u200b', '东兴 疫情 防控 点 四川 东兴区 东兴 请 广西 东兴 防疫 半年 \u200b']"
20,73,,20_巡检_便捷_调配_阿坝州,"['巡检', '便捷', '调配', '阿坝州', '状态', '统筹', '采样', '急需', '岗位', '办理']","['服务 升级 近日 受 疫情 影响 四川省 阿坝州 静默 管理 状态 四川 阿坝 联通 快速 启动 应急 预案 统筹 调配 岗位 人员 核酸 采样 点 网络 巡检 居家 期间 急需 办理 业务 用户 提供 便捷 服务', '服务 升级 近日 受 疫情 影响 四川省 阿坝州 静默 管理 状态 四川 阿坝 联通 快速 启动 应急 预案 统筹 调配 岗位 人员 核酸 采样 点 网络 巡检 居家 期间 急需 办理 业务 用户 提供 便捷 服务', '服务 升级 近日 受 疫情 影响 四川省 阿坝州 静默 管理 状态 四川 阿坝 联通 快速 启动 应急 预案 统筹 调配 岗位 人员 核酸 采样 点 网络 巡检 居家 期间 急需 办理 业务 用户 提供 便捷 服务']"
21,72,地震信息发布,21_地震烈度_调查_中国地震局_震害,"['地震烈度', '调查', '中国地震局', '震害', '管理部', '工作队', '实地', '52', '编制工作', '地震局']","['泸定 地震 烈度 度 应急 管理部 发布 四川 泸定 6.8 级 地震烈度 图 四川 泸定 6.8 级 地震烈度 图 月 11 日 应急 管理部 中国地震局 地震 现场 工作队 灾区 200 调查 点 实地 震害 调查 四川 泸定 6.8 级 地震烈度 图 编制工作 正式 社会 发布 \u3000 \u3000 月 日 12 时 52 分 四川省 甘孜州 泸定县 发生 6.8 级 \u200b', '泸定 地震 烈度 度 应急 管理部 发布 四川 泸定 6.8 级 地震烈度 图 四川 泸定 6.8 级 地震烈度 图 月 11 日 应急 管理部 中国地震局 地震 现场 工作队 灾区 200 调查 点 实地 震害 调查 四川 泸定 6.8 级 地震烈度 图 编制工作 正式 社会 发布 \u3000 \u3000 月 日 12 时 52 分 四川省 甘孜州 泸定县 发生 6.8 级 \u200b', '泸定 地震 烈度 度 应急 管理部 发布 四川 泸定 6.8 级 地震烈度 图 四川 泸定 6.8 级 地震烈度 图 月 11 日 应急 管理部 中国地震局 地震 现场 工作队 灾区 200 调查 点 实地 震害 调查 四川 泸定 6.8 级 地震烈度 图 编制工作 正式 社会 发布 \u3000 \u3000 月 日 12 时 52 分 四川省 甘孜州 泸定县 发生 6.8 级 \u200b']"
22,72,,22_父母_多处_相见_探望,"['父母', '多处', '相见', '探望', '爸爸妈妈', '气肿', '皮下', '含泪', '全身', '检查']","['失联 17 天后 甘宇 父母 医院 相见 四川 泸定 6.8 级 地震 中失联 17 天 甘宇 直升机 转运 送医 生命 体征 平稳 医生 介绍 甘宇 全身 多处 骨折 多处 皮下 气肿 需 进一步 检查 父母 探望 甘宇 含泪 说 放弃 爸爸妈妈 此前 下游 村庄 被淹 同事 震后 坚守 电站 \u200b', '失联 17 天后 甘宇 父母 医院 相见 四川 泸定 6.8 级 地震 中失联 17 天 甘宇 直升机 转运 送医 生命 体征 平稳 医生 介绍 甘宇 全身 多处 骨折 多处 皮下 气肿 需 进一步 检查 父母 探望 甘宇 含泪 说 放弃 爸爸妈妈 此前 下游 村庄 被淹 同事 震后 坚守 电站 \u200b', '失联 17 天后 甘宇 父母 医院 相见 四川 泸定 6.8 级 地震 中失联 17 天 甘宇 直升机 转运 送医 生命 体征 平稳 医生 介绍 甘宇 全身 多处 骨折 多处 皮下 气肿 需 进一步 检查 父母 探望 甘宇 含泪 说 放弃 爸爸妈妈 此前 下游 村庄 被淹 同事 震后 坚守 电站 \u200b']"
23,72,,23_之多艰_沉重_姐们儿_不近人情,"['之多艰', '沉重', '姐们儿', '不近人情', '仗义', '豪爽', '听得见', '旅游业', '呼告', '十年']","['哀 民生 之多艰 发文 姐们儿 仗义 豪爽 四川 女子 北海 开 民宿 十年 疫情 之下 各行各业 熬 艰难 旅游业 更是 遭遇 沉重 打击 日子 不好过 不近人情 方法 真的 熬 小小的 呼告 希望 有人 听得见', '哀 民生 之多艰 发文 姐们儿 仗义 豪爽 四川 女子 北海 开 民宿 十年 疫情 之下 各行各业 熬 艰难 旅游业 更是 遭遇 沉重 打击 日子 不好过 不近人情 方法 真的 熬 小小的 呼告 希望 有人 听得见', '哀 民生 之多艰 发文 姐们儿 仗义 豪爽 四川 女子 北海 开 民宿 十年 疫情 之下 各行各业 熬 艰难 旅游业 更是 遭遇 沉重 打击 日子 不好过 不近人情 方法 真的 熬 小小的 呼告 希望 有人 听得见']"
24,71,地震信息发布,24_人失联_遇难_38_另有,"['人失联', '遇难', '38', '另有', '重伤', '雅安市', '93', '88', '86', '已致']","['央视 新闻 记者 四川省 泸定 地震 抗震救灾 省市 州 县 前线 联合 指挥部 获悉 月 11 日 17 时 地震 93 遇难 甘孜州 遇难 55 雅安市 遇难 38 另有 25 人失联 泸定县 石棉县 16 \u200b', '泸定 地震 已致 93 遇难 25 人失联 四川省 泸定 地震 抗震救灾 省市 州 县 前线 联合 指挥部 获悉 11 日 17 时 地震 93 遇难 甘孜州 遇难 55 雅安市 遇难 38 另有 25 人失联 泸定县 石棉县 16 人民日报 记者 宋豪 新 \u200b \u200b \u200b', '四川 泸定 地震 93 遇难 25 人失联 四川 泸定 地震 最新 情况 四川省 泸定 地震 抗震救灾 省市 州 县 前线 联合 指挥部 消息 11 日 17 时 四川 泸定 地震 93 遇难 甘孜州 遇难 55 雅安市 遇难 38 另有 25 人失联 泸定县 石棉县 16 \u200b']"
25,70,,25_老师_学生_小学_教室,"['老师', '学生', '小学', '教室', '复课', '补助', '文具', '午休', '冲向', '孩子']","['四川 震区 受灾 小学 复课 救援 人员 震区 复课 学生 送 文具 受 泸定 6.8 级 地震 影响 四川 雅安市 石棉县 王岗坪 乡 小学 校舍 受到破坏 月 11 日 上午 106 名 学生 王岗坪 乡 爱国 村 安置 楼房 新 搭建 简易 教室 复课 得知 学生 缺少 学习用品 救援 人员 学生 送 书包 文具 袋 作业本 用品 派出 \u200b', '四川 震区 受灾 小学 复课 救援 人员 震区 复课 学生 送 文具 受 泸定 6.8 级 地震 影响 四川 雅安市 石棉县 王岗坪 乡 小学 校舍 受到破坏 月 11 日 上午 106 名 学生 王岗坪 乡 爱国 村 安置 楼房 新 搭建 简易 教室 复课 得知 学生 缺少 学习用品 救援 人员 学生 送 书包 文具 袋 作业本 用品 派出 \u200b', '四川 震区 受灾 小学 复课 救援 人员 震区 复课 学生 送 文具 受 泸定 6.8 级 地震 影响 四川 雅安市 石棉县 王岗坪 乡 小学 校舍 受到破坏 月 11 日 上午 106 名 学生 王岗坪 乡 爱国 村 安置 楼房 新 搭建 简易 教室 复课 得知 学生 缺少 学习用品 救援 人员 学生 送 书包 文具 袋 作业本 用品 派出 \u200b']"
