nick,sig,date,text,forward,comment,like,情感倾向
傻不愣登宝,微博个人认证,2022年01月,#春晚#没必要看到小孩就生育吧​,0,0,3,0
Freenluvbecky,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#没有办法不关注事情后续，昨晚的通告充满着对铁链锁着的女人的冷漠，实不相瞒，我一字都不信，措辞多么冷血，“收留”二字简直是对拐卖妇女的美化，毫无对苦难者的一丝怜悯，​,19,7,156,2
嬷嬷要克服拖延症,未认证,2022年01月,//@天际的云朵:让全世界人民都看看吧#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
米修556,未认证,2022年01月,#春晚#为什么今年晚会的歌舞节目大部分都有小朋友。。。是鼓励生育还是我太久没看春晚了？2拉萨​,0,0,4,0
小小大女孩儿,未认证,2022年01月,//@玫瑰不是冰:#官方通报徐州丰县生育八孩女子情况#她的牙齿怎么没的，女的结扎失败男的结扎不行?只有一个措施了是吗？,0,0,0,2
木智吉他,未认证,2022年01月,#春晚#//@天际的云朵:让全世界人民都看看吧#官方通报徐州丰县生育八孩女子情况#,0,0,2,0
秀秀大王Ariel,未认证,2022年01月,突然意识到离最佳生育年龄已经没两年了好烦哇​,0,1,0,0
超好看影视菌,未认证,2022年01月,#昔有琉璃瓦太暖了！妈妈怀二胎却因年龄无法再生育，高中女孩用一句话治愈妈妈L超好看影视菌的微博视频​,0,0,0,0
妗棠JT,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#转发​,0,0,0,0
Aoiiihz,未认证,2022年01月,//@准备娶了哲也:#官方通报徐州丰县生育八孩女子情况#查看图片//@冰糖葫芦19302://@铁拳阿甘:希望更多人看到！//@SALT麻麻:“徐州八孩妈妈”或许事件的发生不完全具有标志性，但社会及政府对待这个事件的态度和表现将是标志性的：标志社会的文明程度。这个事件值得并需要全民、全社会,0,0,0,0
Bittz,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#//@0按时睡觉0:#官方通报徐州丰县生育八孩女子情况#,0,0,1,0
梦到头秃梦成真,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#//@天际的云朵:让全世界人民都看看吧#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
MC白启,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#转发微博,0,0,0,0
落日房间,未认证,2022年01月,《父与子》小品，网友说可以直接改成《快生孩子》算了，小品就差一句台词：全家一起来帮忙让年轻人快生孩子。即使倾全家之力，认定不生的女性比例也在连年攀升。除非整个社会环境能在基本面上认可女性生育价值和养育价值，保障女性持续就业的环境，家庭成员也能高度共担责任。否则，根本就杯水车薪。​展开c,1,0,9,0
一只大烧卖,未认证,2022年01月,//@李天飞大话西游:哈哈哈哈哈//@陨石盆栽:且到现在这破春晚也丰县味很浓。//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,0,0,0,2
ff今天背热词了吗,未认证,2022年01月,救救她吧#官方通报徐州丰县生育八孩女子情况#​,0,0,0,0
清清要早点睡,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##建议拐卖妇女儿童罪最高调至死刑#8.4亿了,7,0,0,2
小小大女孩儿,未认证,2022年01月,//@准备娶了哲也:#官方通报徐州丰县生育八孩女子情况#查看图片//@冰糖葫芦19302://@铁拳阿甘:希望更多人看到！//@SALT麻麻:“徐州八孩妈妈”或许事件的发生不完全具有标志性，但社会及政府对待这个事件的态度和表现将是标志性的：标志社会的文明程度。这个事件值得并需要全民、全社会关,0,0,0,0
爱举铁的爆米花,未认证,2022年01月,呕，真恶心#官方通报徐州丰县生育八孩女子情况#​,0,0,0,2
天际的云朵,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,1,0,11,0
吃瓜吃到恶心,未认证,2022年01月,#春晚##春晚还得是小朋友#春晚紧跟国家促进生育政策。全程孩子们撑效果。​,0,0,7,0
谁不识我峰峦哥,微博个人认证,2022年01月,你特么就算为了促进生育也没必要啥节目都塞个小孩进去吧？​,0,0,0,2
露露想全能_学摄影中,微博个人认证,2022年01月,//@刑法杨艳霞:#官方通报徐州丰县生育八孩女子情况#前几天不是说是很正常的一个叫杨某侠的女子吗？还有合法结婚证。基层组织，包括公安机关的不作为是很多被拐卖的妇女、儿童长期得不到解救的重要原因。本案中，即使没有拐卖，一个女性就可以被随便“捡”回来？然后作为自己的老婆？,0,0,0,2
天际的云朵,未认证,2022年01月,让全世界人民都看看吧#官方通报徐州丰县生育八孩女子情况#,11,4,31,0
北椋_Sturnus,未认证,2022年01月,//@白芷不是中药://@三三画画了么://@守望那片海1216://@木城Leon://@晚__娘://@夺命柬埔寨大侠://@宁海的大神木长芽了:#我国总和生育率低于国际警戒线#//@故园湾里:马上2022年两会要开了。猜猜这些舆情会不会在两会上有水花。//@想冬眠的十万:太惨了，无法用语言表达,0,0,0,2
清清要早点睡,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##建议拐卖妇女儿童罪最高调至死刑#//@Mickey快乐星球球长:#官方通报徐州丰县生育八孩女子情况#//@mamefish:#官方通报徐州丰县生育八孩女子情况#,0,0,0,2
随波逐流不逐流,未认证,2022年01月,//@李子的围脖://@清於门下茶僮子://@自由的蓝色鸢尾:回复@JellyBean1177:已关注也发私信了，其实很怀疑对徐州那个女孩采血的过程，有点信不过当地政府//@JellyBean1177:po主你发微博带上话题吧#徐州八个孩子的母亲##官方通报徐州丰县生育八孩女子情况#试着联系一下关注这个事情的大v,0,0,0,2
34十三,未认证,2022年01月,#春晚#感觉好几个小盆友作主咖的节目，怎么滴？是让全国人民看到小盆友多可爱，好提高生育率么​,1,17,224,0
家庭教育丽知姐姐,未认证,2022年01月,//@王人平:20到30岁，一个人的心智还不完全成熟，经历还不够丰富，对自己和自己想要的并不完全了解，但几乎人生最重要的几个选择，比如工作、婚姻、伴侣、生育等，都是这个阶段做出的，很容易导致各种问题出现。也许，我们需要多一点耐心，给自己更长一点时间来认识自己，看清世界，再做选择。,0,0,0,2
股市点金DK,微博个人认证,2022年01月,看了会春晚，一大批节目都在凸显“小孩子”。这是在力推大家跟紧政策，提倡生育。利好节后“三胎概念”。​,0,0,5,0
大只肉肉丸,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
年上七杀,未认证,2022年01月,春晚鼓励生育老好了//@一片树叶儿7k:谢谢大象！//@神经大条哒:救//@大猪蹄子研究所:谢谢//@太皇太后您有喜啦:还好已经有对象了//@我的父母是个奇葩:谢谢//@玫瑰栗绒酥装进荔咚小盒:谢谢//@文科班校花酱:谢谢//@吃不胖的小5:谢谢//@大猪蹄子研究所:谢谢//@松坂梅梅_:谢谢,0,0,0,0
雪糕子-要修的假发怎么有一万顶,未认证,2022年01月,-是想着多给我们看看小孩就能提高生育率了吗？​,0,6,5,0
山百合112233,未认证,2022年01月,如东教育局谁给你们的权力，惩善扬恶！江苏省南通市如东县丰利镇环农村曹德琪，1976年4月份被迫失去教师工作，艰难维权四十多年，何时昭雪？曹德琪2015年给国家领导写信，教育局工作人员，张老师，摄影师上门送教育局的答复的意见告知书。意见告知书写到“我局即对您的信访事项着手调查，一是与丰利​展开c,0,0,0,2
Aoiiihz,未认证,2022年01月,这是我想看的春晚//@Mickey快乐星球球长:#官方通报徐州丰县生育八孩女子情况#//@mamefish:#官方通报徐州丰县生育八孩女子情况#,0,0,3,0
用户7488158342,未认证,2022年01月,#虎年第一条微博##官方通报徐州丰县生育八孩女子情况#希望看到一个满意的结局有罪的人严惩不贷​,0,0,0,2
在一个荒无人烟的地方百花盛放,未认证,2022年01月,看了今年春晚，感觉生育率不是问题嘛，这节目的小演员的参演率没有百分之百，也有百分之八十了，人口红利大大的​,0,1,2,1
迷人小陶,未认证,2022年01月,合肥人表示这个小品不错//@远古文物夏青花:确实//@李天飞大话西游:哈哈哈哈哈//@陨石盆栽:且到现在这破春晚也丰县味很浓。//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,0,0,1,0
清清要早点睡,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##建议拐卖妇女儿童罪最高调至死刑#让女性有尊严的过春节！！,0,0,0,2
濠梁啊,未认证,2022年01月,//@准备娶了哲也:#官方通报徐州丰县生育八孩女子情况#查看图片//@鶴九Tsuruku://@汉唐三三:转发微博,0,0,0,0
面包人偶,未认证,2022年01月,怎么这么多儿童表演这就是想增加生育率的办法吗​,0,0,2,0
鱼蛋饼皮,未认证,2022年01月,能感觉到这个生育率确实低的不太能看了但是那又怎么样呢(。​,0,0,1,2
玫瑰不是冰,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#她的牙齿怎么没的，女的结扎失败男的结扎不行?只有一个措施了是吗？,2,1,29,2
溏心馥芮白_,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#国家发展到十四五了，还有女性在遭遇不幸。​,5,2,104,2
CDanny,未认证,2022年01月,//@李天飞大话西游:哈哈哈哈哈//@陨石盆栽:且到现在这破春晚也丰县味很浓。//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,0,0,0,2
豆浆是咸口的,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#希望她今年能吃到饺子，有衣服穿，不要被拴在那里。​,3,11,57,2
阿昭stro,未认证,2022年01月,离不开催生催婚了好想念本山大叔丹丹阿姨黄宏老师赵丽蓉老师巩汉林老师范伟老师郭冬临老师冯巩老师等等等等他们的好作品我现在还想再看我也不明白为什么现在的小品节目这么奇怪了以前有抨击类的小品好笑和讽刺融合的也特好比如赵丽蓉老师的如此出山英雄母亲的一天教育类郭冬临老师​展开c,0,0,0,0
夏日限定硬质那什么,未认证,2022年01月,《虽然这件事会对你造成伤害但你居然不想为男人考虑奉献，别说了仇男女权罢了》——对单身生育跳脚男的观察总结​,0,2,1,2
Zounish_iuy,未认证,2022年01月,必须表演傻瓜！//@长风万里归马驻平坡:如果能上去表演醉就好了//@短暂消失中:时团去了有效促进生育率，凭什么输给了这些节目,0,0,0,2
everydayclosed,未认证,2022年01月,//@3米之内孟烦了:#官方通报徐州丰县生育八孩女子情况#,0,0,0,2
能吃一绝不吃二,未认证,2022年01月,//@大轰雷:最后一句…//@城乡结婚bot://@彷煌失措://@Lazward_://@夺命柬埔寨大侠://@宁海的大神木长芽了:#我国总和生育率低于国际警戒线#//@故园湾里:马上2022年两会要开了。猜猜这些舆情会不会在两会上有水花。//@想冬眠的十万:太惨了，无法用语言表达，不知道为什么会有人,2,0,1,2
大辣包子噢,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#好讽刺，前一份通告说是本镇人，这一份又不是了？​,0,0,0,2
MC白启,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#转发微博,0,0,0,0
-buyanna,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#等​,0,1,0,0
肥唐说,微博个人认证,2022年01月,志玲姐姐48岁喜得第一个孩子。女性普遍48岁已经进入绝经期了。网传她40岁时冻luan了，十有八九是靠医学科技手段有的孩子。只要不是代yun就很支持。希望医学能辅助女性拥有更长的生育期，这样就可以尽量推迟生育年龄，让女性拥有更多属于自己的时间去享受人生。忍不住感叹，有钱真好！（不支持​展开c,0,0,0,0
兔兔的狒狒,未认证,2022年01月,//@咸菜馅的团子:#官方通报徐州丰县生育八孩女子情况##虎年第一条微博##解救铁链女性##江苏丰县回应八孩母亲被拴破屋#,0,0,0,2
夯芃小能手,未认证,2022年01月,《工作成果》#春节快乐水大赏##新的一年你有什么美好愿望##官方通报徐州丰县生育八孩女子情况##徐州##人世间符合你的期待吗#,2,0,23,0
准备娶了哲也,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#查看图片//@鶴九Tsuruku://@汉唐三三:转发微博,14,1,3,0
罗崽咪喵喵喵呜,未认证,2022年01月,《如何提高当代年轻人生育积极性》是我看到过最好笑的话题我们看到的是这些，女性受到的非人的对待，每日不是杀妻就是分尸要么就是出轨，女性的社会安全感普遍低，也是因为这些案件多数没有得到应有的正视，而是被强压下去。还有谁敢结婚，谁敢生小孩？,0,1,0,2
寒时酒未凉,微博个人认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#提醒自己不要忘了关注​,3,0,44,1
水溶性智商,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#//@命理师枕星河:窑奴是奴，性奴就不是奴了吗！,0,0,24,2
奎林斯背水,未认证,2022年01月,我免费围观了@二总的回答，问题价值250.00元O微博问答​,0,0,0,0
·触春光·,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#今天是除夕佳节是热热闹闹的新年是无聊背景音晚会是家人相伴是欢声笑语但那个可怜的人只有疯病至少八个孩子无数看不见的暗伤二十几年的屈辱还有一个凌晨等来的通报她什么时候能真正的过上温暖的春节和温暖的人生呢​,7,5,98,2
uig666,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##徐州八个孩子母亲#,2,0,15,0
丹恒景元全肯定bot,未认证,2022年01月,如果能上去表演醉就好了//@短暂消失中:时团去了有效促进生育率，凭什么输给了这些节目,1,0,0,0
小小大女孩儿,未认证,2022年01月,//@架设在江河湖海上的构筑物:#官方通报生育八孩女子情况##官方通报徐州丰县生育八孩女子情况##建议拐卖妇女儿童罪最高调至死刑#,0,0,0,2
太原V房产,微博官方认证,2022年01月,【#多地生育补贴与购房补贴挂钩#专家：刺激生育率、去库存“一箭双雕”】三孩政策出台后，如何全面落实“三孩”生育政策及配套支持政策，引发众多讨论。从今年各地两会来看，不少省份把“三孩”首次写入政府工作报告。此外，近期各地频频出台和房价挂钩的生育补贴，也传递出较强的鼓励生育信号。​展开c,0,0,0,0
架设在江河湖海上的构筑物,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##官方通报生育八孩女子情况##建议拐卖妇女儿童罪最高调至死刑#//@小滑头辣条:图片评论评论配图,0,0,9,2
假装起了个好昵称,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#诸多模糊搪塞的地方,0,0,0,2
-安広多惠子,未认证,2022年01月,除夕三缺一这事只能赖计划生育。​,0,5,0,1
Utooooooooopia,未认证,2022年01月,“因为那些不想生育的人没有后代，所以对繁衍欲望起抑制作用的基因都被淘汰掉了。人类进化到今天，繁衍的欲望是符合自然规律的人性。”“如果男光棍问题不需要有针对性地解决，很难不陷入（社会）达尔文主义。”（p2）在很多人那里，前面那句话主张“要求生育权是天然合理的”，由此论证后面那句话​展开c,0,1,1,0
克丽丝昆,未认证,2022年01月,这个世界依旧人声鼎沸#官方通报徐州丰县生育八孩女子情况#​,0,0,0,0
施个魔法变富婆,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
薄衫轻扇杏花楼,未认证,2022年01月,[哆啦A梦汗]//@李天飞大话西游:哈哈哈哈哈//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,1,0,0,2
架设在江河湖海上的构筑物,未认证,2022年01月,#官方通报生育八孩女子情况##官方通报徐州丰县生育八孩女子情况##建议拐卖妇女儿童罪最高调至死刑#,1,0,4,2
阿京的大星星,未认证,2022年01月,//@大夫人2017:我觉得和计划生育无关，和受教育程度有关。所以要多读书！,0,0,0,1
豌豆一枚501,未认证,2022年01月,这事儿离女性很远吗？不，只差一点点运气。你觉得自己运气好吗？永远不会发生在自己身上是吗？你觉得这事儿，离你的姐妹，离你的女儿很远吗？不，可能只差那么一点点而已，只差一点点，恶魔就有可能抓住了你。#官方通报生育八孩女子情况##八孩##吃出春节仪式感#,1,1,4,2
准备娶了哲也,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#查看图片//@Saramonte成长期://@嚼云烟:还有“失效”//@寻找灵感:继离婚冷静期后，徐州又创造性地提出了“收留”,0,0,11,2
uig666,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##徐州八个孩子母亲#,1,0,16,0
苏沅,未认证,2022年01月,希望新一年的世界里女性不再因为生育能力而被买卖奴役逼迫成精神病不被骚扰猥亵家暴殴打砍头肢解虽然她们可能正是某个男人的母亲妻子女儿就进步这么一点点吧拜托了​,1,0,3,2
花心大蕃茄,未认证,2022年01月,太好啦到时候也没有生育能力了俩人又都有退休金了，纯纯爱情白头偕老//@白芋头CHARVIS:知道了//@你的阿磊:？//@小狗斯特:？//@万事屋纸纸酱:？//@文明冲浪指南:草//@Hu_rree:?//@精分君:？//@花菜不菜子:？,0,0,0,0
知齐鲁,未认证,2022年01月,会说英语的青年女子，跑到丰县被“收留”，然后“义无反顾”的为所谓收留她的人生了8个孩子。还常年被铁链锁困。听起来就匪夷所思。丰县有关部门的情况通报，依然让人难以信服。当然比上一次所谓“女子是本地人，铁链锁身是自媒体自导自演”的说法有了一定程度的进步。但距离真相依旧遥远。女子因何​展开c,0,0,0,2
WXINLen,未认证,2022年01月,//@-TangoD要谦虚:#官方通报徐州丰县生育八孩女子情况##吃出春节仪式感##解救铁链女性#//@咸菜馅的团子:#官方通报徐州丰县生育八孩女子情况##虎年第一条微博##解救铁链女性##江苏丰县回应八孩母亲被拴破屋#,0,0,0,0
失语嗑糖选手,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
如果这不算出柜那算什么,未认证,2022年01月,哈哈哈哈哈哈哈哈哈哈//@短暂消失中:时团去了有效促进生育率，凭什么输给了这些节目,0,0,0,0
AR-Kimo,未认证,2022年01月,今年的春节之际，中国最平安，最幸福，最安全！生育华夏儿女一份子，我骄傲我幸福我自豪！祝福祖国越来越好，繁荣昌盛。大家新年快乐！平平安安！健健康康！#任嘉伦2022虎年央视春晚##春晚##台湾#LAR-Kimo的微博视频​,0,0,0,0
肥唐说,微博个人认证,2022年01月,网友：今天一有钱哥们要离婚了，原因说出来大家别笑！因为最近哥们意外发现：跟他结婚3年的老婆，居然以前做过小三！而且为别人打过胎，现在没有生育能力了！生不了孩子！哥们气的想打人，最近正在闹离婚。哥们结婚20万彩礼钱算是打了水漂了。关键是郑州市区一套房子，写了嫂子的名字！哥们亏大发了​展开c,0,11,45,2
I甜甜不甜,未认证,2022年01月,#春晚#父子矛盾靠女性生育解决？​就……离谱现在感觉​之前的春晚挺好看的​,0,0,6,0
直言爱意,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#…这个女孩能过新年吗？​,0,0,0,2
WXINLen,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
吃饱就困的摆烂大王,未认证,2022年01月,看（）不如回顾俺们的楼晚//@短暂消失中:时团去了有效促进生育率，凭什么输给了这些节目,0,0,0,2
WXINLen,未认证,2022年01月,//@Mickey快乐星球球长:#官方通报徐州丰县生育八孩女子情况#//@mamefish:#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
豌豆一枚501,未认证,2022年01月,我无法忽略，无法平静。#八孩##官方通报生育八孩女子情况#,0,0,5,2
拿刀刀,未认证,2022年01月,花团锦簇盛世太平，锁链姑娘们过上温暖的春节了吗#官方通报徐州丰县生育八孩女子情况#​,0,0,0,0
悲伤西柚茉莉炸鸡,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#各位姐妹，我们和这个女子的差别只有一闷棍。​,14,10,244,2
FreeAsTheWind-,未认证,2022年01月,哈哈哈哈哈这不比春晚意思//@短暂消失中:时团去了有效促进生育率，凭什么输给了这些节目,0,0,0,1
WXINLen,未认证,2022年01月,@永安卿酒酒_k:如果我买一样东西他的售后很难保障那么我对于这次的选择肯定会很谨慎，更不用说是结婚了，把霸凌合法合理化，不愧是徐州#官方通报徐州丰县生育八孩女子情况#//@寻找灵感:继离婚冷静期后，徐州又创造性地提出了“收,0,0,6,0
啊这啊这不如啊这,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#太反动了，简直没有人性，建议严查,0,0,0,2
阿灿爱吃桃,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#作为一个曾经三次差点被拐卖的女孩我真的很庆幸我现在还在玩家人身边，也深深的感到害怕，感到冰冷，这么久了官方的态度依旧模糊。​,2,3,28,2
失语嗑糖选手,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
听说深海有蓝鲸鱼,未认证,2022年01月,//@coolyoo_:#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
无角獬豸,未认证,2022年01月,//@李天飞大话西游:哈哈哈哈哈//@陨石盆栽:且到现在这破春晚也丰县味很浓。//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,0,0,0,2
WXINLen,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#唉,0,0,1,0
报告我想去海边,未认证,2022年01月,//@种种片刻://@小王是粘粘主义者:不论她到底是谁，她都是别人心心念念找了很多年的小孩，她的人生被偷走了，八个孩子都不够分，还要生啖她血肉。在她疯掉时，她的父母还在因为想起她而寝食难安，全然不知她受着多大的苦痛。所有人都要睁眼看看#官方通报徐州丰县生育八孩女子情况#,0,0,0,2
施个魔法变富婆,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
WXINLen,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#持续关注,0,0,0,0
