nick,sig,date,text,forward,comment,like,情感倾向
大雄你要做个男子汉,微博个人认证,2022年01月,#虎年春晚观后感##春晚节目单有哪些亮点#看了一大半，我说点感想：1，我骄傲已经取代了想死你们啦！最尬口头禅。2，怀个娃娃，父子关系瞬间转暖。3，滴滴司机很挣钱，一不小心就存了70万。4，不要稳定工作，要创业，卖了房子的那种！5，总结了前几次失误，这次让演员来配合魔术，专业！6​展开c,1,4,97,2
野猪野猪大野猪,未认证,2022年01月,还有一群娇妻在春晚热搜底下共情男人想给他们生三胎呢,0,0,1,0
时陆成江-,未认证,2022年01月,我：今年小孩真的好多我爹：呼吁你生三胎呢我：懂了，是阴谋*穿越版脑回路​,0,0,0,2
你等着我一定绝地里还以颜色,未认证,2022年01月,感动女友的又一方式：把女朋友写上族谱！“主人认可了家奴，呜呜，好可贵的感情好女人，赐三胎，以后你生的孩子都给我交养老金”族谱这东西就是底层男性的精神支柱，唯一强过他们姐妹的先天优势，董明珠说因为不帮助兄弟被威胁开除族谱，评论里简直没法看。所以说女权倾向资本主义，我是赞同的，​展开c,2,1,14,0
暖冫阳,未认证,2022年01月,春晚小孩子节目好多啊。不生三胎急了吗​,0,0,1,0
玛雅你吃点好的吧,未认证,2022年01月,#春晚#小孩这么多是为了呼吁三胎吗​,0,0,0,2
ZgSssH,微博个人认证,2022年01月,//@要七颗散装的甜奶糖://@我爱人类幼崽i:很难不转//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,2
肥唐说,微博个人认证,2022年01月,最近，河南郑州，一名男子碰到个烦心的事，男子娶了一个老婆，是个三胞胎姐妹，刚谈恋爱的时候也不觉得有什么，因为这几个姐妹平日里也不在一起，都在不同的地方打工。然而结完婚以后，这三胞胎姐妹非要在一个小区买房，买完房以后，这男子就后悔了，老婆的姐姐和妹妹隔三差五一起来串门，周末休息在​展开c,0,12,29,2
登什么星,未认证,2022年01月,2021那一年自己一个人在城里独居，自己学着弄饭吃，一个人忙工作，还花了很多时间去忙学习（虽然扑街），过的虽然是简单，但也很焦虑也有抑郁。没经历过感情的事情，真的对母胎单身狗很不好，突然一下觉得对这个世界很陌生，陌生到怀疑自己的三观，期间各种煎熬，忙着健身，打球，学习，工作（还好年底​展开c,0,4,2,2
肥唐说,微博个人认证,2022年01月,网友：今天一有钱哥们要离婚了，原因说出来大家别笑！因为最近哥们意外发现：跟他结婚3年的老婆，居然以前做过小三！而且为别人打过胎，现在没有生育能力了！生不了孩子！哥们气的想打人，最近正在闹离婚。哥们结婚20万彩礼钱算是打了水漂了。关键是郑州市区一套房子，写了嫂子的名字！哥们亏大发了​展开c,0,11,45,2
坏脾气小驼,微博个人认证,2022年01月,"bdjw,第一个小品催三胎?​",0,0,0,2
清韵歌,未认证,2022年01月,说得好（）//@stage1st宅社区:赶紧催亲戚们三胎,0,0,1,0
天官赐福fufufu,未认证,2022年01月,是个节目，就充斥着三胎的信号！​,0,0,0,2
周周乐陶陶wai,微博个人认证,2022年01月,当看到观众席出现玺子，眼睛都挪不开//@易只猪猪的日常-9979:不行！老公！速回家！我等你！啊啊啊！//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,2
楠楠挺不错,未认证,2022年01月,//@山城春信录:感情稳定已三胎,0,0,0,0
墨逸明haesty,未认证,2022年01月,看了视频，希望大张伟王勉是在反讽催婚和三胎，春晚这玩意真的没意思​,0,3,6,2
李承鄞虽狗但实在美丽,未认证,2022年01月,今年饭桌上听到最离谱的话（虽然知道是开玩笑啦）：你要响应国家号召生三胎​,0,0,0,2
我喝豆浆不放糖,微博个人认证,2022年01月,//@子不语1213://@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,0
五条龙-大老黑,未认证,2022年01月,//@黑脸叔叔成凡之:就这还催三胎呢？//@MAO-石沉大猫://@武啦啦-nana:的确！不光是自己还有我的姐妹我的孩子！我如何能安然看着她们踏入火坑？！//@鸭酥菇叽咕:一个感受不到对女性友好的社会，谁能不恐惧不害怕呢//@南有鹅名企:谁还能自信自己这辈子都踩不到那每一步都有的陷阱,0,0,0,2
帽帽仙未寒,微博个人认证,2022年01月,早就说了玲不会，之前猜她们小品三胎的，都不想想她们历年春w小，品内容吗？家访家政婆媳母女，基本都是很生活化的基本不会贴什么热点，带色彩最少的了，虽然也有点没意思。反倒是隔壁某花从扶不扶、反腐到今年的老赖，都在贴，剩下的爹味男小品就更不用说了，是我高估了🙏,0,0,1,1
An梦想成真,未认证,2022年01月,//@向你致以亲切问候:惠开始研究怎么给男同学生孩子了！//@青根高伸觉得自己萌萌哒:问个问题，小惠听懂了吗！！！别三胎了又未交往？？？,0,0,0,0
Sylvia一只佳,未认证,2022年01月,生了一次性响应三胎政策​,0,1,2,0
·嘛呢嘛呢,微博个人认证,2022年01月,qianfu帅的//@·小时椿典·://@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,0
小心我的刀刀嘴,未认证,2022年01月,如果要三胎那碗盆可以生//@玫瑰时尚女王:如果要催婚题材时团可以唱姐姐恋爱吧//@代餐巨鳄:如果你要武侠题材那时团可以唱剑雨江湖//@代餐巨鳄:如果要提虎虎生威那时团可以唱男儿歌,0,0,0,0
撒娇肉跑出来了哦,未认证,2022年01月,传下去三胎有了//@南滨路的那头是鱼洞:哦哦哦哦哦～,0,0,0,0
恭喜我发现宝藏,未认证,2022年01月,#春晚#我知道了，春晚给大家看很多可爱的小朋友是来刺激大家生三胎​,0,0,0,0
树林椰子,未认证,2022年01月,春晚看多了会三胎,0,5,1,0
一一一丨丨丨,未认证,2022年01月,我趣，今年春晚是不是给三胎年龄段观众看的啊这波春晚在大气层​,0,0,2,0
子不語1213,微博个人认证,2022年01月,//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,1,0,0,0
恋爱友人,未认证,2022年01月,说说我吧，家庭关系应该是最乱的了因为内容有点狗.血，所以就匿了我是长女，下面还有个妹妹，我爸妈在我三年级时离婚了，原因就是我爸爸有了私生子当时啥也不懂，我跟我爸，我爸把我妹丢给了我妈，我记得我当时问过他为什么，他说:一个丫头就够了，养俩我闲着钱.多？不得不说，我爸确实钱.多，​展开c,0,0,106,2
真話的清高,未认证,2022年01月,一年一度春晚段子大考第一波来啦～(按观看时间顺序逐个吐槽，图个乐呵）#春晚段子大考#①马凡舒是真美啊，就应该多点新面孔，给年轻人多点机会！②邓超越来越油腻了，整首歌就他扭地最起劲，真怕他把腰闪了哈哈哈～③“当初生你的时候我都不参与”哈哈哈哈～；“前任的领导、现任的爹​展开c,1,9,7,0
默默韵笛,未认证,2022年01月,#春晚#大过年的为啥要让我看到包贝尔？我做错了什么？！没生三胎的惩罚吗？​,0,0,0,2
小溪呀小小溪溪溪,未认证,2022年01月,新年快乐🎆一起过的第七个新年了从两只小崽子到即将到来的第三只小崽子满满都是幸福很多人都很好奇为什么我愿意生三胎最最重要的原因，是因为我觉得很幸福，队友很给力，从不缺席孩子们的每一次成长，如此，我很轻松，孩子们的童年也非常圆满，这是我最想要的家庭生活我​展开c,0,0,4,0
这是我的小狗,未认证,2022年01月,如果要三胎题材碗盆可以生//@代餐巨鳄:如果你要武侠题材那时团可以唱剑雨江湖//@代餐巨鳄:如果要提虎虎生威那时团可以唱男儿歌,0,0,0,0
唱跳最佳idol奥奥王,未认证,2022年01月,加油生！不生个三胎怎么能够，真是丢我们女人家家的脸,0,0,0,2
星星de夜曲,未认证,2022年01月,去买取暖器，老婆大着肚子做生意，老公在打游戏呢，两个孩子了，三胎,0,0,0,0
flowersontheriverbank,未认证,2022年01月,我考虑了一下真实性，是真的//@小发大水:支持//@不饲圆湘琴:我同意//@captain龙:响应国家三胎号召，继科儿给@樊振东乒乓生一个我一个，给@许昕生一个我一个//@captain龙:我最后的表情像你之前的造型吗//@张继科:谢谢龙队，最后是在许愿东京,0,0,0,0
栖霞视点,微博官方认证,2022年01月,【#东北虎三胞胎征来的名超浪漫#：#3只小虎定名叱咤卓尔风禾#】日前，我们为黑龙江东北虎林园的东北虎三胞胎举行征名活动。今天，它们的名字正式公布：①叱咤，八千里路叱咤风云；②卓尔，学识不凡卓尔不群；③风禾，风禾尽起顺势而上。网友：我起的“锅包肉”“铁锅炖”“地三鲜”就假装是小名​展开c,0,0,1,0
美丽人生一点不美丽-,未认证,2022年01月,三胎开放了救命啊//@夏天的尽头有一束烟火:对我们来说是不是反讽重要吗，家长可开心了，又找到一个教育的机会了,0,0,1,1
猫猫酒酿圆子,未认证,2022年01月,未来十年春晚的话题：结婚生孩子生二胎生三胎生四胞胎生…生葫芦娃​,0,0,0,0
易只猪猪的日常-9979,微博个人认证,2022年01月,不行！老公！速回家！我等你！啊啊啊！//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,1,0,0,2
於可期,未认证,2022年01月,#春晚生小孩#建议不生三胎不让看春晚😅这总达到你的目的了😅​,0,1,1,0
薤间乡蒿上客,微博个人认证,2022年01月,去洗了个澡回来，略过了好多个小品！据说真的有催老年人生三胎？？我不理解而且这个魔术好无聊╮（╯＿╰）╭​,0,0,0,2
懒懒懒懒懒得取名字了喂,未认证,2022年01月,蛾子急什么，445今年就三胎，晦气丑蛾子少来碰瓷大小姐,0,7,9,2
三加七2333,未认证,2022年01月,有对象了吗？结婚了吗？有孩子了吗？生二胎了吗？要三胎吗？…………这……请不要说话​,0,0,0,2
是个球但不能吃的糯米团子,未认证,2022年01月,笑死，不止不要借钱，还有快生三胎，俩娃都要养不起了你还想来三,0,0,0,2
别再闹我啦,未认证,2022年01月,//@我爱人类幼崽i:很难不转//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,1,0,0,2
最爱霸气芝士册梨子,未认证,2022年01月,#春晚段子大考#打一歇后语：三个岳母---三胎​,0,0,1,0
养鸡场工人,未认证,2022年01月,我感觉我们家族年夜饭话题主旨都可以撑起春晚了。无止尽的催婚三胎疫情哲学。​,0,1,2,0
用户7590376040,未认证,2022年01月,三胎政策的开放，身边备孕的准妈妈们越来越多，咨询孕前检查的越来越多。这说明孕前检查对于怀孕的重要性这件事已经深入人心，值得表扬。但是很多准妈妈们仍然对于吴医生建议中的口腔检查感到非常不理解。那到底孕前O网页链接​,0,0,0,2
小马花达,未认证,2022年01月,我叔叔:今年春晚的主题是什么我:生三胎（中气十足）​,0,0,0,0
问心有愧的六子,未认证,2022年01月,你什么时候结婚？你什么时候卖房子创业？你什么时候三胎？尬就一个字​,1,4,1,2
小鹿是团子,未认证,2022年01月,哲……，催婚生娃，已婚已育的催三胎吗？我要发财，发财，发财！！！​,0,0,0,0
粒勾,未认证,2022年01月,#春晚#改名劝婚劝三胎宣传晚会得了​,0,0,11,0
如果草莓的季节再长些,未认证,2022年01月,建议春晚魔术和小品联动一下，直接变一个三胎出来​,1,2,4,0
yarrive_,未认证,2022年01月,感情稳定已三胎,1,0,1,0
im云那,未认证,2022年01月,下雨，好困啊，他们还没走，趁喂奶发个微博，买了沙拉酱了，美味升级✌汉堡胚再煎一下更好吃✌，弟弟开始脱毛了，额头的毛也渐渐少了很多，弟弟的脸好圆新年快乐[许愿虎]今年两个孙子第一次相聚，在我们吃饭的时候都在睡觉，今年算是比较热闹，估计明年弟弟会走路更热闹希望不是追着​展开c,0,1,0,0
韦嗯Wayne,微博个人认证,2022年01月,今年小品也太难笑了，我来写一个！经典作品超生游击队续集——《超生游击队2022》黄宏宋丹丹到了当爷爷奶奶的年纪，1990年前后出生的海南岛、吐鲁番、北戴河、少林寺也到了生育年龄，但是几个孩子都不想生宝宝，说什么生不起、教育难、独身快乐、不如养猫……宋丹丹和黄宏一边诉说当年超生游击的尴尬​展开c,8,24,157,2
买不到梦中情毒不改名,未认证,2022年01月,说真的大张伟这个歌唱的，还不如演个催婚生三胎的小品。​,0,0,0,0
铁T猫伊莱,未认证,2022年01月,大过年的被气到饭都没吃几口直接离家出走吃年夜饭吃得好端端的某老头跟我来句:等你妈退休了要么带外孙要么带儿子。重点是后面那半句。说说是跟我商量我可没听出商量的语气像是通知过了今晚就是虎年本命年了按农历算我25三胎出来跟我差至少25我是万万不可能给自己留个绊的（没错绊不是伴）​展开c,0,5,1,2
D-esmond,未认证,2022年01月,竟然没有三胎的命题作文考前押题组扣100分​,0,0,0,0
天臻臻_许墨1115生日快乐,未认证,2022年01月,别tm结了三胎也不可能的😅谁需要kpi谁自己生去吧,0,1,2,2
tworeddd,微博个人认证,2022年01月,#春晚#感谢春晚导演为买不起房结不起婚的人民群众着想争取让大家尴尬到抠出一栋别墅人人都有别墅住人人都能生三胎​,0,0,9,2
zhanggyu,未认证,2022年01月,#春晚#又双叒叕结婚，生孩子终于三胎了，看还要生多少、、、、、？？？？？？？？？？​,0,0,1,2
我弄个超长的名字看你让不让我用,未认证,2022年01月,今年的小品到目前为止竟然和政治没有一点关系，本来以为会宣传三胎政策啥的​,0,0,0,1
赤道信纸,未认证,2022年01月,结婚生三胎这俩词在春晚上至少出现20次，少一次都达不到kpi。​,0,0,2,2
-鸭砸-,未认证,2022年01月,*第五部第5、6章剧透注意⚠️*内含双子/TRIGGER/89发言*随时编辑，想到哪写到哪，毫无语言表达能力****关于双子我先立刻给官方磕头他俩终于继2018年后……说上话了！！！亲友比我先看她说我看到后面肯定会死，本来想着既然这么说，那肯定是有点双子的消息……结果我打开最后一话直接暴毙了，​展开c,1,3,13,2
俞荷娟X,未认证,2022年01月,//@金山二姐:不解决好丢失儿童的寻找，不打击人贩子，还怎么生三胎？那些年被拐走的孩子基本上都是独生子女，让他们的父母怎么办？,0,0,0,2
用户7590376040,未认证,2022年01月,三胎政策的开放，身边备孕的准妈妈们越来越多，咨询孕前检查的越来越多。这说明孕前检查对于怀孕的重要性这件事已经深入人心，值得表扬。但是很多准妈妈们仍然对于吴医生建议中的口腔检查感到非常不理解。那到底孕前O网页链接​,0,0,0,2
二栎娱乐馆,未认证,2022年01月,经纪人回应昆凌怀三胎据台媒爆料，昆凌姐姐在和友人聊天时透露妹妹怀有三胎，已经、个月了。对此，周杰伦经纪公司未回复，昆凌经纪人回应称昆凌最近在为周董庆生，暂时找不到她，并未正面否认。台媒曝昆凌已怀三胎L二栎娱乐馆的微博视频​,0,0,0,2
莫斯摩西啦啦啦,未认证,2022年01月,已经催完三胎了​,0,0,1,0
吃葡萄不吐皮311,未认证,2022年01月,想骂人这楼上的大嫂子怎么回事每次见面都要说什么生二胎的事说什么逃不过的说第一个没关系反正都要生第二个的巴拉巴拉的老子真的是你三观有问题！！！！神经病我好好的心情给我整得无语了！不会说话就别说话了大家都是儿媳你一儿一女不代表​展开c,0,2,1,2
闪耀鬻闪耀,未认证,2022年01月,呜呜呜呜呜每切一次我尖叫一次//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,0
碍事年糕精,未认证,2022年01月,刷了会儿小视频，全是生孩子、孕晚期、宫缩的时候老公在干什么、三胎剖腹产是什么体验你看我像喜欢看这些的人吗？还有评论里清一色的比烂，你老公还在医院，挺好的了，我老公都跑网吧了；我顺产，我顺转剖，哎呀，你们这算什么，我前两胎都是顺转剖，生完孩子我老公天天不着家，刚刚剖了第三胎​展开c,0,0,0,0
用户5155787908,未认证,2022年01月,有些青春期孩子仇视父母，假象背后不为人知的秘密：家长错看孩子青春期是每个孩子都要经历的特殊成长阶段，之所以说特殊是因为绝大多数家长突然发现孩子难以管教了，甚至连最起码的沟通都很困难。家长们经常会陷入焦虑与困惑，难道孩子这辈子真就废了？难道我含辛茹苦多年最终养了一只白眼狼？难道​展开c,0,0,0,2
我爱人类幼崽i,未认证,2022年01月,很难不转//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,2,0,0,2
风水大师刘文标,微博个人认证,2022年01月,今日通胜：2022年2月1日黄历公历日期：2022年2月1日星期二农历日期：2022年正月初一当日提示：春节、弥勒菩萨圣诞、干支日期：辛丑年辛丑月乙酉日五行纳音：井泉水执位：成日值日星神：勾陈宜：祭拜祭祀、入殓、破土、除服、成服、启钻、安葬、修坟、立碑、余事勿取、忌：余事勿取冲：​展开c,0,0,1,0
易缘风水博客,微博个人认证,2022年01月,今日通胜：2022年2月1日黄历公历日期：2022年2月1日星期二农历日期：2022年正月初一当日提示：春节、弥勒菩萨圣诞、干支日期：辛丑年辛丑月乙酉日五行纳音：井泉水执位：成日值日星神：勾陈宜：祭拜祭祀、入殓、破土、除服、成服、启钻、安葬、修坟、立碑、余事勿取、忌：余事勿取冲：​展开c,1,0,3,0
惠风和畅XM,未认证,2022年01月,除夕夜，既期待又害怕会不会半夜发动。因为中午回家发现轻微见红了，躺了一下午，傍晚发现血丝不见了，但肚子发硬发紧得厉害。上午去医院产检医生通碟如果下周一（39+4）还没发动常规监测完就得住院。问我关于生产方式的个人意愿，提醒该考虑清楚了，我违心地说如果能自然顺产就顺产。可心里其实抗拒很​展开c,0,0,0,2
OliviaWangXZ,未认证,2022年01月,那不能～合法婚姻，夫妻恩爱～～这么艰苦的条件还能二倍量完成国家三胎任务，怎么可能涉嫌违法呢，你们不要耽误人家生第九个老子微博号不要了～,0,0,0,2
鹿鹿想吃丸子,未认证,2022年01月,//@·芝士奶逸·:帅疯了//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,2
云外的天空_rui,未认证,2022年01月,新年没啥愿望，就是希望家人平平安安，两个宝贝快高长大，家婆还想我生三胎，我是不会再生的​,0,0,1,2
王小呆嗷,未认证,2022年01月,废话文学和反诈APP上分了接下来还差三胎​,0,0,1,2
不准吃我的香菜-,未认证,2022年01月,无语死什么到了适婚年龄就一定要结婚我这么大了我就该结婚就该生娃娃？？exm？？你都到了三胎的年龄你怎么不生三胎呢？一个劲儿的洗别人脑那是不是人老到了一定的年纪就该si呢？二十一世纪了怎么还有这种恶臭思想呢我结不结婚生不生娃都是我自己的事管你屁事要你瞎操心家住海边吗真的听到​展开c,0,0,0,2
比个手枪,未认证,2022年01月,谢谢已经在响应政策要三胎了,0,0,0,0
_吱吱咪快发车,未认证,2022年01月,//@·芝士奶逸·:帅疯了//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,2
沫璃凝Pro,未认证,2022年01月,现在的小品都是各种政策轮番上阵了吗演到现在三胎大学生回乡创业反诈APP​,0,1,0,2
昆明市总工会,微博官方认证,2022年01月,【#东北虎三胞胎征来的名超浪漫#：#3只小虎定名叱咤卓尔风禾#】日前，我们为黑龙江东北虎林园的东北虎三胞胎举行征名活动。今天，它们的名字正式公布：①叱咤，八千里路叱咤风云；②卓尔，学识不凡卓尔不群；③风禾，风禾尽起顺势而上。网友：我起的“锅包肉”“铁锅炖”“地三鲜”就假装是小名​展开c,0,0,0,0
禁止麻瓜使用魔法,未认证,2022年01月,今年春晚紧跟实事了除了借钱就是生三胎连大象🐘都不放过​,0,0,1,2
星空之莹,未认证,2022年01月,#还得是沈腾马丽#说真的感觉还是缺点啥但是和别的比已经不错了贾玲张小斐的小品不是催三胎哈哈哈哈2天津​,0,2,0,2
梦美丽的番,未认证,2022年01月,"今年春晚的关键词,对象结婚四口之家三胎生娃借钱还钱​",0,0,0,0
至死是八嘎,未认证,2022年01月,结婚三胎婆媳创业扶弟​,0,1,0,0
时舒舒今天吃饭了吗,未认证,2022年01月,🍭《我那形同虚设的婚姻》作者：一蟹不如一蟹🌱文案：战争过后，人口锐减，研究所的最强大脑omega光环褪去，遵从滴国的安排，响应滴国号召的OA结合政策，分配给了○帅的儿子，号称滴国未来之星的alpha，基因优秀，貌比天仙，omega比alpha大八岁，本来以为那棵嫩草应该十分抗拒自己这头前半生全​展开c,0,2,8,0
Ka34xxxx,未认证,2022年01月,没催三胎的？​,0,0,0,2
ccc三七二十一,微博个人认证,2022年01月,帅疯了//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,2,0,0,2
半绘池吔,微博个人认证,2022年01月,老公啊啊啊//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,0
一个人心中有好多个宝贝,微博个人认证,2022年01月,虎虎生威，也生崽（三胎名字想好了//@卡肉依:,0,0,0,0
生活家朴哲,微博个人认证,2022年01月,#总台2022网络春晚#我的评分：#贾玲张小斐春晚小品喜上加喜##全民评春晚#整体来说，贾玲张小斐这个小品中规中矩。地域梗、谐音梗都比较中规中矩，前后结构性转化也算是中规中矩，结局很圆满也算中规中矩。不过“他的姿色让我对他的资产产生一丝幻想”这句让我破防了，终于放​展开c,0,0,0,1
roundlaruku,未认证,2022年01月,真的没人觉得尬吗？媳妇搞那个音效的时候不尊重人到一定程度了，是不是媳妇做啥婆婆都应该笑着接受？//@佛罗伦娜构造体II-b74型:不错了，按往年尿性喜上加喜可不得婆媳一起三胎,0,0,0,0
下辈子我想做爷们,未认证,2022年01月,又成功混过了一年，不知道什么时候可以是个头，这种感觉很奇妙，我有普通人人有的一切，有一个还不错的家庭，有三五个聊得来的朋友，有一些可以实现的愿望，但是又总是能在各个层面逼我到绝境，好好的生活我一直过的烂七八糟，一手好牌基本打的稀烂。也许是我不够努力吧，我有点渴望一切能重来一次，不​展开c,0,1,1,0
风墨大仙儿,微博个人认证,2022年01月,1990年代的小品：鼓励老人寻找自己的幸福，过自己的快乐生活，日子好了，安享晚福。2020年代的小品：让老人别花钱，出去跑出租赚的钱都贴给子女，给子女当二胎三胎的保姆，日子卷了，安享“晚福”。​,5,4,40,0
